nama_instansi,nama_satuan_kerja,tahun_anggaran,cara_pengadaan,metode_pengadaan,jenis_pengadaan,nama_paket,kode_rup,sumber_dana,produk_dalam_negeri,total_nilai,jumlah_paket_realisasi,total_realisasi,persentase_realisasi,status_realisasi
PROVINSI DKI JAKARTA,DINAS KEBUDAYAAN - 2.22.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Podcast Budaya - Belanja Modal,64993464,APBD,Ya,65190017,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,KELURAHAN ANCOL - JAKUT - 7.01.0.00.0.00.02.0008,2026,Penyedia,E-Purchasing,Barang,Penyediaan Bahan kerja PPSU,67782128,APBD,Ya,65182768,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,KELURAHAN SENEN - JAKPUS - 7.01.0.00.0.00.01.0020,2026,Penyedia,Dikecualikan,Barang,Penyediaan BBM KDO/KDO Khusus,63581026,APBD,Ya,65182000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SATUAN POLISI PAMONG PRAJA KOTA ADMINISTRASI JAKARTA TIMUR - 1.05.0.00.0.00.01.0005,2026,Penyedia,E-Purchasing,Barang,Penyediaan Peralatan Penunjang Komputer,67703590,APBD,Ya,65170784,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,PUSAT PELAYANAN KESEHATAN HEWAN DAN PETERNAKAN - 2.09.3.25.3.27.01.0010,2026,Penyedia,E-Purchasing,Barang,Belanja Pengadaan Suku Cadang Mesin,63748263,BLUD,Ya,65154403,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pengadaan Langsung,Barang,Pencetakan Renstra Dinas Sumber Daya Air,64743523,APBD,Ya,65122400,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS BINA MARGA - 1.03.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Pengadaan Interactive Display,64635809,APBD,Ya,65112822,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS PARIWISATA DAN EKONOMI KREATIF - 3.26.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Jasa Lainnya,Wall of Jakarta (Penyediaan Belanja Makanan dan Minuman Aktivitas Lapang dan Jamuan),63485668,APBD,Ya,65105000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,KELURAHAN PETUKANGAN UTARA - JAKSEL - 7.01.0.00.0.00.04.0011,2026,Penyedia,E-Purchasing,Barang,Pemeliharaan Sarana dan Prasarana Ruang Interaksi Warga/RPTRA,62048018,APBD,Ya,65081520,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS PARIWISATA DAN EKONOMI KREATIF KOTA - JAKPUS - 3.26.0.00.0.00.01.0001,2026,Penyedia,Dikecualikan,Jasa Lainnya,Belanja Sewa Bangunan Gedung Tempat Pertemuan Aktivitas Penyelenggaraan Festival Pasar Baru,63318033,APBD,Ya,65076047,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA ADMINISTRASI JAKARTA UTARA - 2.12.0.00.0.00.01.0002,2026,Penyedia,E-Purchasing,Jasa Lainnya,Pemeliharaan KDO Roda 4 Pelayanan Dukcapil,63934907,APBD,Ya,65069252,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,RUMAH SAKIT UMUM DAERAH TANAH ABANG - 1.02.0.00.0.00.01.0082,2026,Penyedia,Pengadaan Langsung,Barang,Belanja Pemeliharaan SIMRS,63945826,BLUD,Ya,65016000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,KELURAHAN KEBAYORAN LAMA UTARA - JAKSEL - 7.01.0.00.0.00.04.0002,2026,Penyedia,E-Purchasing,Barang,Penyediaan Makanan dan Minuman Tamu,64556532,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,"SUKU DINAS TENAGA KERJA, TRANSMIGRASI, DAN ENERGI KOTA ADMINISTRASI JAKARTA PUSAT - 2.07.3.32.3.29.01.0001",2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Aktivitas Lapangan Pembentukan TKM Aneka Kue,63342519,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,KELURAHAN PETUKANGAN SELATAN - JAKSEL - 7.01.0.00.0.00.04.0010,2026,Penyedia,E-Purchasing,Barang,Penyediaan Makanan dan Minuman Peningkatan kapasitas lembaga kemasyarakatan ,63426284,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SATUAN POLISI PAMONG PRAJA KOTA ADMINISTRASI JAKARTA SELATAN - 1.05.0.00.0.00.01.0004,2026,Penyedia,E-Purchasing,Barang,Penyediaan Makanan dan Minuman Rapat,63861349,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,PUSKESMAS TAMAN SARI - 1.02.0.00.0.00.01.0111,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Belanja Jasa Perizinan Analisis Dampak Lalu Lintas Operasional (ANDALALIN),67367260,BLUD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,KELURAHAN ROROTAN - JAKUT - 7.01.0.00.0.00.02.0032,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Pelaksanaan Rapat Pelatihan Pembuatan Kudapan Sehat Bagi Kader,64297884,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU BADAN KEPEGAWAIAN KOTA ADMINISTRASI JAKARTA BARAT - 5.03.0.00.0.00.01.0003,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Aktivitas Lapangan - Penyelenggaraan Aktualisasi Nilai-nilai Keagamaan Kristen di Lingkungan Pemerintah Kota Administrasi Jakarta Barat,65061690,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS KEBUDAYAAN KOTA - JAKTIM - 2.22.0.00.0.00.01.0005,2026,Penyedia,E-Purchasing,Barang,Penyelenggaraan Festival Teater Jakarta_Belanja Makanan dan Minuman Aktivitas Lapangan,64120813,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU BADAN PERENCANAAN PEMBANGUNAN KOTA ADMINISTRASI JAKARTA SELATAN - 5.01.0.00.0.00.01.0004,2026,Penyedia,E-Purchasing,Barang,Penyediaan Konsumsi Rapat Subkel Kesra,64599310,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,PUSKESMAS CILANDAK - 1.02.0.00.0.00.01.0121,2026,Penyedia,E-Purchasing,Barang,Rapat Koordinasi Kesehatan Puskesmas Pembantu,63182003,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS PERPUSTAKAAN DAN KEARSIPAN - 2.23.2.24.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Penyediaan Makanan dan Minuman - Pembinaan Perpustakaan Khusus,64014787,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,KECAMATAN PANCORAN - JAKSEL - 7.01.0.00.0.00.04.0035,2026,Penyedia,E-Purchasing,Barang, Belanja Makanan dan Minuman Rapat Pelaksanaan Rapat Koordinasi PKK,63424536,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,KELURAHAN SENAYAN - JAKSEL - 7.01.0.00.0.00.04.0052,2026,Penyedia,E-Purchasing,Jasa Lainnya,Penyediaan Makanan dan Minuman Rapat,64916439,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN KOTA  ADMINISTRASI JAKARTA TIMUR - 1.05.0.00.0.00.02.0004,2026,Penyedia,E-Purchasing,Jasa Lainnya,Penyediaan Makan Minum Gladi Rencana Operasi Penanggulangan Kebakaran,63507003,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,KECAMATAN PANCORAN - JAKSEL - 7.01.0.00.0.00.04.0035,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman  Rapat Kegiatan Pengajian PKK,63416059,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU BADAN PERENCANAAN PEMBANGUNAN KOTA ADMINISTRASI JAKARTA TIMUR - 5.01.0.00.0.00.01.0005,2026,Penyedia,E-Purchasing,Jasa Lainnya,Penyediaan Makanan dan Minuman Forum Perencanaan Berjenjang,63017073,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,PUSAT PENDIDIKAN DAN PELATIHAN PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN - 1.05.0.00.0.00.02.0007,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Honorarium Kegiatan Diklat PPL,63742671,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS SUMBER DAYA AIR KOTA ADMINISTRASI JAKARTA PUSAT - 1.03.0.00.0.00.02.0001,2026,Penyedia,E-Purchasing,Jasa Lainnya,"Pengadaan Makan dan Snack Rapat untuk Menunjang Kegiatan Pembangunan Saluran, Saluran PHB dan Kelengkapannya di Suku Dinas Sumber Daya Air Kota Administrasi Jakarta Pusat",63080601,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,"DINAS TENAGA KERJA, TRANSMIGRASI, DAN ENERGI - 2.07.3.32.3.29.01.0000",2026,Penyedia,E-Purchasing,Barang,Belanja Makan Minum dan Snack Pembinaan dan Penyiapan Tenaga Kerja Mandiri yang Berwirausaha pada Lembaga Pendidikan Menengah Kejuruan,64575742,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS SUMBER DAYA AIR KOTA ADMINISTRASI JAKARTA SELATAN - 1.03.0.00.0.00.02.0004,2026,Penyedia,Pengadaan Langsung,Jasa Konsultansi,Pengawasan Pembangunan Tangki Septik Wilayah Barat 1,64512557,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS PERPUSTAKAAN DAN KEARSIPAN - 2.23.2.24.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Penyediaan Makanan dan Minuman Rapat - Pembinaan Perpustakaan Umum,64013045,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,"SUKU DINAS  PERINDUSTRIAN, PERDAGANGAN, KOPERASI, USAHA KECIL DAN MENENGAH KOTA - JAKPUS - 3.31.3.30.2.17.01.0001",2026,Penyedia,E-Purchasing,Barang,Penyelenggaraan Rapat Koordinasi,66918019,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,KECAMATAN PESANGGRAHAN - JAKSEL - 7.01.0.00.0.00.04.0008,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Pelaksanaan Rapat Koordinasi PKK ,62797803,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN - 2.11.0.00.0.00.01.0004,2026,Penyedia,E-Purchasing,Barang,Penyediaan Makan Minum Lapangan Kegiatan Program Kampung Iklim (Proklim),64124784,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,PUSKESMAS PASAR MINGGU - 1.02.0.00.0.00.01.0114,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,B. Uji Baku Mutu,63318933,BLUD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,"SUKU DINAS  PERINDUSTRIAN, PERDAGANGAN, KOPERASI, USAHA KECIL DAN MENENGAH KOTA - JAKTIM - 3.31.3.30.2.17.01.0005",2026,Penyedia,E-Purchasing,Barang,Penyelenggaraan Rapat Koordinasi,64727016,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Jasa Lainnya,Belanja Makanan dan Minuman Rapat Kegiatan Jakarta BERJAGA,64137424,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Jasa Lainnya,Belanja Makanan dan Minuman Rapat Kegiatan Pengelolaan Pelayanan Promosi Kesehatan,63899297,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,KECAMATAN GROGOL PETAMBURAN - JAKBAR - 7.01.0.00.0.00.03.0029,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat Koordinasi PKK,62004821,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS KESEHATAN KOTA ADMINISTRASI JAKARTA SELATAN - 1.02.0.00.0.00.01.0004,2026,Penyedia,E-Purchasing,Barang,Pelantikkan Anggota SBHJS,64039977,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU BADAN PERENCANAAN PEMBANGUNAN KOTA ADMINISTRASI JAKARTA UTARA - 5.01.0.00.0.00.01.0002,2026,Penyedia,E-Purchasing,Barang,Penyediaan makanan dan minuman Pengendalian Forum Perencanaan Berjenjang Kota Administrasi Jakarta Utara,63616293,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,KELURAHAN SRENGSENG SAWAH - JAKSEL - 7.01.0.00.0.00.04.0025,2026,Penyedia,E-Purchasing,Barang,Penyediaan Makanan dan Minuman Tamu,63150262,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,BADAN PENANGGULANGAN BENCANA DAERAH - 1.05.0.00.0.00.03.0000,2026,Penyedia,E-Purchasing,Barang,Penyediaan Fasilitasi Kunjungan Tamu - Belanja Makanan dan Minuman Jamuan Tamu,63059976,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,KELURAHAN BANGKA - JAKSEL - 7.01.0.00.0.00.04.0034,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Jamuan Tamu,63245342,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS PERPUSTAKAAN DAN KEARSIPAN - 2.23.2.24.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Penyediaan Makanan dan Minuman - Pembinaan Perpustakaan Perguruan Tinggi,64015773,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,"SUKU DINAS  PERINDUSTRIAN, PERDAGANGAN, KOPERASI, USAHA KECIL DAN MENENGAH KOTA - JAKSEL - 3.31.3.30.2.17.01.0004",2026,Penyedia,E-Purchasing,Barang,Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD-Belanja Makanan dan Minuman Rapat,63304300,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU BADAN PERENCANAAN PEMBANGUNAN KOTA ADMINISTRASI JAKARTA SELATAN - 5.01.0.00.0.00.01.0004,2026,Penyedia,E-Purchasing,Barang,Penyediaan Konsumsi Musrenbang Tingkat Kota,64456374,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS SUMBER DAYA AIR KOTA ADMINISTRASI JAKARTA SELATAN - 1.03.0.00.0.00.02.0004,2026,Penyedia,Pengadaan Langsung,Jasa Konsultansi,Pengawasan Pembangunan Tangki Septik Wilayah Timur  2,64512750,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,BADAN PENANGGULANGAN BENCANA DAERAH - 1.05.0.00.0.00.03.0000,2026,Penyedia,E-Purchasing,Barang,"Peningkatan Kapasitas Kajian Kebutuhan Pascabencana (JITUPASNA) Bagi Masyarakat, Dunia Usaha dan Potensi Lainnya - Belanja Makanan dan Minuman Rapat",66632279,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,BIRO KEPALA DAERAH - 4.01.0.00.0.00.01.0006,2026,Penyedia,E-Purchasing,Jasa Lainnya,Penyediaan Makanan dan Minuman Rapat (1),64083556,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS PERTAMANAN DAN HUTAN KOTA - 3.28.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Pengadaan Konsumsi Flona,64076893,APBD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,PUSKESMAS CENGKARENG - 1.02.0.00.0.00.01.0106,2026,Penyedia,Dikecualikan,Jasa Lainnya,Pemeriksaan Cholinestrase,63416730,BLUD,Ya,65000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,UNIT PENGELOLA GELANGGANG JAKARTA SELATAN - 2.19.0.00.0.00.01.0016,2026,Penyedia,E-Purchasing,Barang,Persediaan Barang Pakai Habis Bangunan,62864122,APBD,Ya,64967037,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,PUSAT PELATIHAN PROFESI PARIWISATA DAN EKONOMI KREATIF - 3.26.0.00.0.00.01.0008,2026,Penyedia,E-Purchasing,Jasa Lainnya,Penyediaan Paket Meeting Fullday Pelaksanaan Pelatihan Profesi Pariwisata Bidang SPA (Junior),62636767,APBD,Ya,64950000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,PUSAT PELATIHAN PROFESI PARIWISATA DAN EKONOMI KREATIF - 3.26.0.00.0.00.01.0008,2026,Penyedia,E-Purchasing,Jasa Lainnya,Penyediaan Paket Meeting Fullday Pelaksanaan Pelatihan Profesi Pariwisata Bidang SPA (Senior),62637192,APBD,Ya,64950000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,PUSAT PELATIHAN PROFESI PARIWISATA DAN EKONOMI KREATIF - 3.26.0.00.0.00.01.0008,2026,Penyedia,E-Purchasing,Jasa Lainnya,Penyediaan Paket Meeting Fullday Pelaksanaan Pelatihan Profesi Pariwisata Skema Perawatan Etnik Indonesia Betawi,65577896,APBD,Ya,64950000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,"SUKU DINAS CIPTA KARYA, TATA RUANG DAN PERTANAHAN KABUPATEN ADMINISTRASI KEPULAUAN SERIBU - 1.03.0.00.0.00.03.0006",2026,Penyedia,E-Purchasing,Jasa Lainnya,Sewa Kapal Monitoring terhadap Pelanggaran Pemanfaatan dan Pengendalian Ruang di Wilayah Kepulauan Seribu - 2,67133561,APBD,Ya,64924160,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU BADAN KESATUAN BANGSA DAN POLITIK KABUPATEN ADMINISTRASI KEPULAUAN SERIBU - 8.01.0.00.0.00.01.0006,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Penyediaan Alat Angkutan Apung Bermotor untuk Penumpang (Sewa Speed Boat / Kapal Cepat),62471440,APBD,Ya,64924160,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS KEBUDAYAAN KABUPATEN - KEP. SERIBU - 2.22.0.00.0.00.01.0006,2026,Penyedia,E-Purchasing,Jasa Lainnya,Dukungan Penampilan Seni dan Budaya,67105007,APBD,Ya,64924160,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,"DINAS KETAHANAN PANGAN, KELAUTAN DAN PERTANIAN - 2.09.3.25.3.27.01.0000",2026,Penyedia,E-Purchasing,Jasa Lainnya,Pemeliharaan Instalasi Air Bersih,64826051,APBD,Ya,64914640,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,BIRO KEPALA DAERAH - 4.01.0.00.0.00.01.0006,2026,Penyedia,E-Purchasing,Barang,Penyediaan Natura dan Pakan-Natura dan Pakan Lainnya,64083284,APBD,Ya,64893696,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,PUSKESMAS JATINEGARA - 1.02.0.00.0.00.01.0127,2026,Penyedia,Dikecualikan,Barang,Belanja BBM Fogging Fokus,63414535,BLUD,Ya,64890800,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SEKOLAH MENENGAH KEJURUAN NEGERI 32 JAKARTA - 1.01.0.00.0.00.01.0030,2026,Penyedia,E-Purchasing,Pekerjaan Konstruksi,"Pemeliharaan Rutin Sarana dan Prasarana Sekolah (Belanja Material Pemeliharaan Pintu dan Jendela Gudang Busana, Pemeliharaan Pintu dan Jendela Ruang Wakil Kepala Sekolah, Pemeliharaan Pintu dan Jendela Ruang Koperasi)",67798738,APBD,Ya,64879472,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS PERHUBUNGAN KOTA ADMINISTRASI JAKARTA TIMUR - 2.15.0.00.0.00.01.0005,2026,Penyedia,E-Purchasing,Barang,Penyediaan Perlengkapan Kebersihan Kantor,67715904,APBD,Ya,64833888,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS SOSIAL KOTA ADMINISTRASI JAKARTA TIMUR - 1.06.0.00.0.00.01.0005,2026,Penyedia,E-Purchasing,Barang,Pemeliharaan KDO/KDO Khusus (Belanja Pemeliharaan Alat Angkutan-Alat Angkutan Darat Bermotor-Kendaraan Bermotor Penumpang),62862187,APBD,Ya,64822016,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SATUAN POLISI PAMONG PRAJA - 1.05.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,"Peralatan, Perlengkapan, Jaringan serta Komunikasi pendukung Insfrastruktur Command Center Satpol PP - Peralatan dan Perlengkapan",67795322,APBD,Tidak,64820784,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,"DINAS KOMUNIKASI, INFORMATIKA DAN STATISTIK - 2.16.2.20.0.00.01.0000",2026,Penyedia,Pengadaan Langsung,Barang,Hadiah yang Bersifat Perlombaan (PMKP),62262362,APBD,Ya,64806250,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,PUSKESMAS TANJUNG PRIOK - 1.02.0.00.0.00.01.0100,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Pengadaan Jasa Laboratorium Pemeriksaan Limbah IPAL di Puskesmas,64111647,BLUD,Ya,64800000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,PUSKESMAS TANAH ABANG - 1.02.0.00.0.00.01.0090,2026,Penyedia,Dikecualikan,Jasa Lainnya,Biaya Pembayaran Piket Sabtu Pegawai (BLUD) - Puskesmas Tanah Abang,62983782,BLUD,Ya,64800000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,KELURAHAN BUNGUR - JAKPUS - 7.01.0.00.0.00.01.0021,2026,Penyedia,E-Purchasing,Barang,7.01.05.6.02.0001.007 Belanja Makanan dan Minuman pada Fasilitas Pelayanan Urusan Kesehatan (DAU),64177198,APBD,Ya,64800000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,UNIT PENGELOLA PERPUSTAKAAN JAKARTA DAN PUSAT DOKUMEN SASTRA HB JASSIN - 2.23.2.24.0.00.01.0006,2026,Penyedia,E-Purchasing,Barang,Snack Kegiatan Mimbar dan Diskusi Sastra,63967155,APBD,Ya,64800000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,KELURAHAN PEGANGSAAN DUA - JAKUT - 7.01.0.00.0.00.02.0029,2026,Penyedia,Dikecualikan,Barang,Pembayaran TALI Ruang Interaksi Warga/RPTRA,63943235,APBD,Ya,64800000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU BADAN KESATUAN BANGSA DAN POLITIK KOTA ADMINISTRASI JAKARTA BARAT - 8.01.0.00.0.00.01.0003,2026,Penyedia,E-Purchasing,Barang,Pengadaan Fasilitasi Kunjungan Tamu,62431965,APBD,Ya,64776000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SATUAN POLISI PAMONG PRAJA KOTA ADMINISTRASI JAKARTA TIMUR - 1.05.0.00.0.00.01.0005,2026,Penyedia,E-Purchasing,Barang,Penyediaan High Pressure Cleaner,62999692,APBD,Ya,64767584,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,UNIT PENGELOLA RUMAH SUSUN IV - 1.04.0.00.0.00.01.0012,2026,Penyedia,Dikecualikan,Jasa Lainnya,Belanja Iuran Jaminan Kecelakaan Kerja Bagi Non ASN,63945269,APBD,Ya,64765764,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,PUSAT PELATIHAN KERJA KHUSUS PENGEMBANGAN LAS - 2.07.3.32.3.29.01.0012,2026,Penyedia,Penunjukan Langsung,Jasa Lainnya,Belanja Iuran Jaminan Kesehatan bagi Non ASN (PJLP Kebersihan),64444726,APBD,Ya,64761300,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,PUSKESMAS PASAR MINGGU - 1.02.0.00.0.00.01.0114,2026,Penyedia,E-Purchasing,Jasa Lainnya,Pem. Komputer dan Jaringan,63317798,BLUD,Ya,64749305,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS SUMBER DAYA AIR KOTA ADMINISTRASI JAKARTA PUSAT - 1.03.0.00.0.00.02.0001,2026,Penyedia,Dikecualikan,Jasa Lainnya,Belanja Pembayaran Pajak Surat Tanda Nomor Kendaraan untuk Menunjang Kegiatan Penyediaan Jasa Perizinan KDO/KDO Khusus di Suku Dinas Sumber Daya Air Kota Administrasi Jakarta Pusat,62946629,APBD,Ya,64734700,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,KELURAHAN CEGER - JAKTIM - 7.01.0.00.0.00.05.0016,2026,Penyedia,E-Purchasing,Barang,Belanja Penyediaan jasa pemeliharaan KDO/KDO Khusus,63946566,APBD,Ya,64714857,0.0,0.0,0.0,BELUM TEREALISASI
