nama_instansi,nama_satuan_kerja,tahun_anggaran,cara_pengadaan,metode_pengadaan,jenis_pengadaan,nama_paket,kode_rup,sumber_dana,produk_dalam_negeri,total_nilai,jumlah_paket_realisasi,total_realisasi,persentase_realisasi,status_realisasi
PROVINSI DKI JAKARTA,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.01.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pelaksanaan Fisik Pembangunan Rumah Susun Rorotan IX Tahap I,64599612,APBD,Ya,102835941784,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pembangunan Sistem Tata Air Pompa Pegangsaan Dua dan Pompa Warung Jengkol Beserta Kelengkapannya,64842929,APBD,Ya,99518634930,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pembangunan Prasarana Dan Sarana Kali/Sungai Dan Kelengkapannya di Wilayah Jakarta Selatan (Kali Cideng Atas),64842356,APBD,Ya,99413954050,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.01.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pelaksanaan Fisik Revitalisasi Rumah Susun Marunda Cluster C,64601143,APBD,Ya,97978048284,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pembangunan Sistem Tata Air Pompa Ancol Beserta Kelengkapannya,64842861,APBD,Ya,97243460158,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Jasa Konsultansi,Pembangunan Prasarana Dan Sarana Kali/Sungai Dan Kelengkapannya di Wilayah Jakarta Timur (Kali Jatikramat),64842341,APBD,Ya,94316000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pembangunan Prasarana Dan Sarana Kali/Sungai Dan Kelengkapannya di Wilayah Jakarta Barat (Kali Angke Permata Buana),64842400,APBD,Ya,91383608580,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Dikecualikan,Jasa Lainnya,Penyediaan Jasa Tagihan Listrik,62131488,APBD,Ya,90077462964,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,2026,Penyedia,Dikecualikan,Barang,Belanja Modal Peralatan dan Mesin BOSP-BOS Reguler Penyediaan Dana Bantuan Operasional Sekolah (BOS) Reguler Jenjang SMP Negeri,64946894,APBD,Ya,89229541377,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pembangunan Sistem Tata Air Pompa Kali Apuran (Polder Cengkareng Kalideres) dan Pembangunan Pompa Mangga Raya (Polder Kedoya Taman Ratu) Beserta Kelengkapannya,64842878,APBD,Ya,88160622762,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,RUMAH SAKIT UMUM DAERAH BUDHI ASIH - 1.02.0.00.0.00.01.0061,2026,Penyedia,Dikecualikan,Barang,Belanja Barang dan Jasa Ai Siti Rokayah TKDN (dikecualikan),65491548,BLUD,Ya,87812655893,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,RUMAH SAKIT UMUM DAERAH KOJA - 1.02.0.00.0.00.01.0057,2026,Penyedia,Dikecualikan,Jasa Lainnya,Belanja Gaji Non PNS,64222854,APBD,Ya,86414134896,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pembangunan Sistem Tata Air Pompa Cempaka Putih Barat dan Cempaka Putih Jl Suprapto (Polder Cempaka Putih) Beserta Kelengkapannya,64842921,APBD,Ya,82511427754,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,"Pembangunan Sistem Tata Air Pompa Daan Mogot (DEPAG, KM 13, KM 13A, KM 13B) Beserta Kelengkapannya",64842956,APBD,Ya,81227542398,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Barang,Pengadaan dan Pemasangan Pompa Kampung Sawah dan Pompa Kali Apuran Beserta Kelengkapannya,64853414,APBD,Ya,78970950000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pembangunan Sistem Tata Air Waduk/ Embung Kebagusan dan Cilandak Pondok Labu Beserta Kelengkapannya,64842996,APBD,Ya,76342618042,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,"Pembangunan Prasarana Dan Sarana Kali/Sungai Dan Kelengkapannya di Wilayah Jakarta Barat (Kali Pesanggrahan Jl Adhi Karya, H. Marzuki, Kedoya Garden)",64842385,APBD,Ya,73234608697,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Dikecualikan,Barang,Pengadaan BBM KDO Khusus dan Alat Berat,64833334,APBD,Ya,71288571951,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,RUMAH SAKIT UMUM DAERAH PASAR MINGGU - 1.02.0.00.0.00.01.0063,2026,Penyedia,Dikecualikan,Jasa Lainnya,TKD PEGAWAI NON PNS,67674393,BLUD,Ya,71020336334,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pembangunan Sistem Tata Air Pompa Bulak Cabe (Kelurahan Cilincing) Beserta Kelengkapannya,64842838,APBD,Ya,68960673602,0.0,0.0,0.0,BELUM TEREALISASI
