nama_instansi,nama_satuan_kerja,tahun_anggaran,cara_pengadaan,metode_pengadaan,jenis_pengadaan,nama_paket,kode_rup,sumber_dana,produk_dalam_negeri,total_nilai
PROVINSI DKI JAKARTA,"SUDIN PEMBERDAYAAN, PERLINDUNGAN ANAK DAN PENGENDALIAN PENDUDUK - JAKSEL - 2.08.2.14.0.00.01.0004",2026,Penyedia,E-Purchasing,Barang,Belanja Modal Bangunan Gedung Kantor Pembinaan dan Fasilitasi Kampung Keluarga Berkualitas,64903366,APBD,Ya,39872000
PROVINSI DKI JAKARTA,KELURAHAN PANCORAN - JAKSEL - 7.01.0.00.0.00.04.0036,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat Koordinasi FKDM,62924232,APBD,Ya,5850000
PROVINSI DKI JAKARTA,PUSKESMAS CILANDAK - 1.02.0.00.0.00.01.0121,2026,Penyedia,E-Purchasing,Barang,Rehabilitasi Berbasis Masyarakat (REKAT) (Pustu Cilandak Barat),63177854,APBD,Ya,940000
PROVINSI DKI JAKARTA,PUSKESMAS PULO GADUNG - 1.02.0.00.0.00.01.0130,2026,Penyedia,E-Purchasing,Barang,Penyediaan bahan habis pakai untuk implementasi Layanan Home Service Warga Jakarta (Urid Acid Test),65813668,APBD,Ya,21895508
PROVINSI DKI JAKARTA,DINAS BINA MARGA - 1.03.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Pengadaan Lampu Hias,67398391,APBD,Ya,310396240
PROVINSI DKI JAKARTA,PUSAT PELATIHAN KERJA DAERAH - JAKBAR - 2.07.3.32.3.29.01.0009,2026,Penyedia,E-Purchasing,Barang,Belanja lisensi desain grafis,67569055,APBD,Ya,61925696
PROVINSI DKI JAKARTA,KELURAHAN KRAMAT - JAKPUS - 7.01.0.00.0.00.01.0018,2026,Penyedia,E-Purchasing,Barang,DAU PKK - Sosialisasi Pencegahan dan Penanganan Stunting (Bahan Cetak),63374025,APBD,Ya,256200
PROVINSI DKI JAKARTA,KELURAHAN TENGAH - JAKTIM - 7.01.0.00.0.00.05.0023,2026,Penyedia,Dikecualikan,Jasa Lainnya,Belanja Iuran Jaminan Kecelakaan Kerja bagi Non ASN (PPPK Paruh Waktu PPSU),64133102,APBD,Ya,777180
PROVINSI DKI JAKARTA,KELURAHAN KARET SEMANGGI - JAKSEL - 7.01.0.00.0.00.04.0054,2026,Penyedia,E-Purchasing,Barang,Pemeliharaan Sarana dan Prasarana Arsiktektural Pemeliharaan/Rehabilitasi Sarana dan Prasarana Gedung Kantor atau Bangunan Lainnya,63136807,APBD,Ya,29972812
PROVINSI DKI JAKARTA,PUSKESMAS PADEMANGAN - 1.02.0.00.0.00.01.0099,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Biaya Jasa Retribusi Pengangkutan sampah,62830735,BLUD,Ya,10200000
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Dikecualikan,Jasa Lainnya,Penyediaan BPJS Kesehatan dan Tenaga Kerja Petugas Pengiriman (Caraka) ,61647347,APBD,Ya,11760720
PROVINSI DKI JAKARTA,PUSKESMAS JATINEGARA - 1.02.0.00.0.00.01.0127,2026,Swakelola,-,-,Pengadaan Jasa Analisa Laboratorium Pemeriksaan TSH Neonatus/SHK,41812156,APBD,-,210000000
PROVINSI DKI JAKARTA,BADAN PENGELOLAAN ASET DAERAH - 5.02.0.00.0.00.02.0000,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Petugas Administrasi 7,61815813,APBD,Ya,45134208
PROVINSI DKI JAKARTA,UNIT PELAYANAN ADMINISTRASI KEPENDUDUKAN - 2.12.0.00.0.00.01.0008,2026,Penyedia,E-Purchasing,Jasa Lainnya,Penyediaan Jasa Pemeliharaan KDO/KDO Khusus,64258504,APBD,Ya,10737754
PROVINSI DKI JAKARTA,"SUKU DINAS TENAGA KERJA, TRANSMIGRASI, DAN ENERGI KOTA ADMINISTRASI JAKARTA SELATAN - 2.07.3.32.3.29.01.0004",2026,Penyedia,Dikecualikan,Jasa Lainnya,Belanja Iuran Jaminan Kecelakaan & Jaminan Kematian Kerja bagi Non ASN (Teknisi Mekanik dan Listrik - Instalator Energi),65558163,APBD,Ya,1092528
PROVINSI DKI JAKARTA,SUKU DINAS PARIWISATA DAN EKONOMI KREATIF KOTA - JAKPUS - 3.26.0.00.0.00.01.0001,2026,Penyedia,Dikecualikan,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Benda Pos Aktifitas Penyediaan Jasa Administrasi Keuangan,63387407,APBD,Ya,1000000
PROVINSI DKI JAKARTA,DINAS PERTAMANAN DAN HUTAN KOTA - 3.28.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Pengadaan Tanaman untuk Pemeliharaan RTH Jalur Hijau Penyempurna dan Tepian Air 1               ,64026313,APBD,Ya,1224381000
PROVINSI DKI JAKARTA,KELURAHAN KEMANGGISAN - JAKBAR - 7.01.0.00.0.00.03.0039,2026,Penyedia,E-Purchasing,Barang,Penyediaan Pakaian kerja lapangan PPSU,64643539,APBD,Ya,119202048
PROVINSI DKI JAKARTA,KELURAHAN GROGOL UTARA - JAKSEL - 7.01.0.00.0.00.04.0007,2026,Swakelola,-,-,Penyediaan Honor Juri Lomba 10 Program Pkk Thn 2026,41835001,APBD,-,7500000
PROVINSI DKI JAKARTA,PUSAT PELATIHAN PROFESI PARIWISATA DAN EKONOMI KREATIF - 3.26.0.00.0.00.01.0008,2026,Penyedia,E-Purchasing,Jasa Lainnya,Penyediaan Full Day Meeting Sertifikasi Kegiatan Sertifikasi Tenaga Kerja sektor Ekonomi Kreatif skema Editor Video,67456441,APBD,Ya,22083000
PROVINSI DKI JAKARTA,KELURAHAN RAWAMANGUN - JAKTIM - 7.01.0.00.0.00.05.0065,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat (Rakor FKDM),64554274,APBD,Ya,540000
PROVINSI DKI JAKARTA,"PUSAT PENDIDIKAN DAN PELATIHAN PERINSDUSTRIAN, PERDAGANGAN, KOPERASI, USAHA KECIL DAN MENENGAH - 3.31.3.30.2.17.01.0008",2026,Penyedia,E-Purchasing,Jasa Konsultansi,Perencanaan Renovasi Gedung Kantor,65004099,APBD,Ya,39000000
PROVINSI DKI JAKARTA,PUSKESMAS CIRACAS - 1.02.0.00.0.00.01.0123,2026,Penyedia,Dikecualikan,Barang,Biaya Kepesertaan BPJS Ketenagakerjaan Jasa Driver Ambulans,67046897,BLUD,Ya,1485183
PROVINSI DKI JAKARTA,KELURAHAN PADEMANGAN TIMUR - JAKUT - 7.01.0.00.0.00.02.0010,2026,Penyedia,Pengadaan Langsung,Barang,Penyediaan Barang Cetakan dan Penggandaan,65243043,APBD,Tidak,3761184
PROVINSI DKI JAKARTA,KELURAHAN PONDOK BAMBU - JAKTIM - 7.01.0.00.0.00.05.0047,2026,Penyedia,E-Purchasing,Barang,Penyediaan makan minum Pelaksanaan Lomba STQ/MTQ Tingkat Kecamatan,65216325,APBD,Ya,6500000
PROVINSI DKI JAKARTA,KELURAHAN PEGANGSAAN - JAKPUS - 7.01.0.00.0.00.01.0011,2026,Swakelola,-,-,Honorarium Narasumber Isra Mi'Raj,41896605,APBD,-,550000
PROVINSI DKI JAKARTA,KELURAHAN CAWANG - JAKTIM - 7.01.0.00.0.00.05.0029,2026,Penyedia,E-Purchasing,Barang,Belanja Spanduk Pelaksanaan Kegiatan Tindak Lanjut Sosialisasi Tingkat Kecamatan Rembuk Stunting,64115316,APBD,Ya,307800
PROVINSI DKI JAKARTA,BADAN PENGELOLAAN ASET DAERAH - 5.02.0.00.0.00.02.0000,2026,Penyedia,Pengadaan Langsung,Jasa Konsultansi,Penilaian BMD - KJPP 37 - Kajian sewa BMD untuk Penyelenggaraan Reklame di Pilar Stasiun dan Stasiun MRT,63162455,APBD,Ya,99611400
PROVINSI DKI JAKARTA,PUSAT RISET DAN INOVASI DAERAH - 5.01.0.00.0.00.01.0007,2026,Swakelola,-,-,Penelitian dan Pengembangan Perekonomian,42747155,APBD,-,403200000
PROVINSI DKI JAKARTA,KELURAHAN UTAN KAYU SELATAN - JAKTIM - 7.01.0.00.0.00.05.0055,2026,Swakelola,-,-,"Penyediaan Jasa Telepon, Air, dan Listrik",41929763,APBD,-,191516976
PROVINSI DKI JAKARTA,PUSAT PELATIHAN DAN PENGEMBANGAN PENDIDIKAN - JAKPUS - 1.01.0.00.0.00.01.0033,2026,Swakelola,-,-,"Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia - Pelatihan Kompetensi Peserta Didik Program Keahlian Multimedia",41926802,APBD,-,48000000
PROVINSI DKI JAKARTA,DINAS PEMUDA DAN OLAHRAGA - 2.19.0.00.0.00.01.0000,2026,Penyedia,Dikecualikan,Jasa Lainnya,Belanja Sewa Hotel Kegiatan Kursus Instruktur Muda (KIM) Pramuka,65666803,APBD,Ya,281450000
PROVINSI DKI JAKARTA,UNIT PENGELOLA MUSEUM KESEJARAHAN JAKARTA - 2.22.0.00.0.00.01.0007,2026,Swakelola,-,-,Tenaga Ahli Rekonstruksi Sejarah,43442423,APBD,-,213250000
PROVINSI DKI JAKARTA,KELURAHAN KAMPUNG RAWA - JAKPUS - 7.01.0.00.0.00.01.0028,2026,Swakelola,-,-,"Pelaksanaan Kegiatan Keagamaan Lainnya Tingkat Kelurahan dan Pengajian Bulanan  (Honor Penceramah, Pembawa Acara dan Tilawatil Quran )",42132998,APBD,-,7000000
